,query,relevant_naics
0,Home improvement store,['444110']
1,Diesel fuel supplier,['424710']
2,Church,['813100']
3,Farm,['115116']
4,Seed supplier,['424910']
5,Accountant,['541200']
6,Trucking company,['484110']
7,Exporter,['522293']
8,Grain elevator,['493130']
9,Popcorn store,['445299']
10,Agricultural service,['115116']
11,Warehouse,['493110']
12,Agricultural production,['111998']
13,Ranch,['112130']
14,Holding company,['551112']
15,Farm equipment supplier,['423820']
16,Store,['452319']
17,Grocery store,['445110']
18,Rice mill,['311212']
19,Food products supplier,['424490']
20,Accounting firm,['541200']
21,Produce market,['445230']
22,Pet supply store,['453910']
23,Wholesaler,['425120']
24,Produce wholesaler,['424480']
25,Distribution service,['541614']
26,Crop grower,['111998']
27,Addiction treatment center,['623220']
28,Natural goods store,['446191']
29,Orchard,['111331']
30,Lumber store,['423310']
31,Mine,['212299']
32,Transportation service,['485999']
33,Investment company,['523110']
34,Fruit wholesaler,['424480']
35,Real estate agency,['531210']
36,Event venue,['561920']
37,Frozen dessert supplier,['311520']
38,Wine wholesaler and importer,['424820']
39,Winery,['312130']
40,Aerospace company,['336400']
41,Cold storage facility,['493120']
42,Employment agency,['561311']
43,Plant nursery,['444220']
44,Air conditioning contractor,['238220']
45,Air conditioning repair service,['238220']
46,Fruit and vegetable wholesaler,['445230']
47,Aircraft rental service,['532411']
48,Monastery,['813110']
49,Allergist,['621111']
50,Herb shop,['446191']
51,Aluminum supplier,['331313']
52,Ambulance service,['621910']
53,Wholesale plant nursery,['424930']
54,Amusement machine supplier,['454200']
55,Animal hospital,['541940']
56,Farmers market,['445230']
57,Vaporizer store,['453991']
58,Cigar shop,['453991']
59,Tobacco shop,['453991']
60,Well drilling contractor,['213111']
61,Library,['519120']
62,Apartment building,['531110']
63,Apartment rental agency,['531110']
64,Dairy farm,['112120']
65,Architect,['541300']
66,Organic farm,['111998']
67,Architectural designer,['541300']
68,Architecture firm,['541300']
69,Livestock producer,['112111']
70,Dairy supplier,['424430']
71,Biotechnology company,['541714']
72,Artist,['711500']
73,Egg supplier,['1123']
74,Poultry farm,['311615']
75,Chicken hatchery,['112340']
76,Arts organization,['711190']
77,Association or organization,['813910']
78,Food store,['445110']
79,Deli,['722513']
80,Bank,['522110']
81,Fish processing,['311710']
82,Fish farm,['112511']
83,Seafood wholesaler,['424460']
84,Tropical fish store,['453910']
85,Non-profit organization,['813410']
86,Economic development agency,['926110']
87,Seafood market,['445220']
88,Honey farm,['112910']
89,Horse breeder,['112920']
90,Asphalt contractor,['238990']
91,Livestock dealer,['424520']
92,Department store,['452210']
93,Mill,['321113']
94,ATV dealer,['441228']
95,Audio visual consultant,['334310']
96,Pallet supplier,['321920']
97,Wood supplier,['423310']
98,Hardware store,['444130']
99,Furniture wholesaler,['423210']
100,Auditor,['541211']
101,Oil & natural gas company,['213111']
102,Auto body shop,['811111']
103,Boat repair shop,['336611']
104,Association,['813910']
105,Railing contractor,['332323']
106,Publisher,['511130']
107,Pond supply store,['221310']
108,Agriculture cooperative,['926140']
109,Printing equipment supplier,['333244']
110,Auto insurance agency,['524210']
111,Alternative fuel station,['447190']
112,Auto parts manufacturer,['336300']
113,Foundation,['813211']
114,Fertilizer supplier,['325311']
115,Farming company,['115116']
116,Finance broker,['522310']
117,Agricultural cooperative,['926140']
118,Fire station,['922160']
119,Environmental consultant,['541620']
120,Civil engineer,['237990']
121,Fire protection service,['922160']
122,Gas company,['221210']
123,Oilfield,['213111']
124,Banquet hall,['722320']
125,Mining company,['212299']
126,Coalfield,['212112']
127,Steel fabricator,['332312']
128,Quarry,['212311']
129,Gold mining company,['212221']
130,High-rise building,['236220']
131,Basketball club,['711211']
132,Gold dealer,['423940']
133,Battery manufacturer,['335911']
134,Electric utility company,['926130']
135,Environmental program,['813312']
136,Office,['561110']
137,Stone supplier,['423320']
138,Aggregate supplier,['423320']
139,Sand & gravel supplier,['212321']
140,Building materials supplier,['444190']
141,Beauty supply store,['446120']
142,Crushed stone supplier,['423320']
143,Rock shop,['423940']
144,Road construction company,['237310']
145,Marketing consultant,['541613']
146,Blood testing service,['541380']
147,Contractor,['238990']
148,Excavating contractor,['238910']
149,Asphalt mixing plant,['324121']
150,Ready mix concrete supplier,['327320']
151,Sand plant,['212322']
152,BMW dealer,['441120']
153,Bookbinder,['323121']
154,Garden center,['444220']
155,Abrasives supplier,['327910']
156,Granite supplier,['327991']
157,Drilling contractor,['213111']
158,BPO company,['561421']
159,Oil and gas exploration service,['213111']
160,Building complex,['531110']
161,Construction equipment supplier,['423810']
162,Mining equipment,['333131']
163,Bus ticket agency,['561599']
164,Business center,['561439']
165,Skyscraper,['236220']
166,Software company,['54151']
167,Business development service,['541611']
168,Business management consultant,['541600']
169,Cabinet maker,['337110']
170,Call center,['561421']
171,Cancer treatment center,['622310']
172,Power plant consultant,['237130']
173,Business park,['812930']
174,Petroleum products company,['424720']
175,Parking lot,['812930']
176,Water utility company,['221310']
177,Car repair and maintenance,['811111']
178,Water treatment plant,['221310']
179,Car service,['811198']
180,Cattle market,['424520']
181,Sewage disposal service,['221320']
182,Certified public accountant,['541211']
183,Government office,['921190']
184,Charity,['813219']
185,Air conditioning system supplier,['423730']
186,Chemical industry,['325998']
187,Chemical manufacturer,['325998]']
188,Title company,['541191']
189,Chemical plant,['325998']
190,Property management company,['531311']
191,Custom home builder,['236115']
